Region	Auftraggeber	Art Bauwerk	Art Arbeit	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
......7619 Aargau (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	174073	100329	35600	51150	103295	106081	139237	148105	136560	92798	75515	64705	76373	82753	70286	30965	33280	20651
......7619 Aargau (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	94866	83276	74981	65845	48005	20662	23945	69261	52593	30221	62076	132627	138835	169611	118628	65656	110562	139389
......7619 Aargau (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	400	300	800	0	0	0	0	0	500	12200	2750	5600	12000	7000	1000	0	40	0
......7619 Aargau (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	10020	225	400	980	430	0	0	0	0	0	900	600	2000	565	9500	5150	150	50
......7619 Aargau (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	14600	47000	17000	2700	4150	600	0	0	0	193	0	0	2580	5500	50	583	2180	270
......7619 Aargau (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	35060	58566	35303	39424	29680	17070	38000	21200	32600	0	1700	1100	10050	9553	20000	25080	349	585
......7618 Graubünden (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7618 Graubünden (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	3510	0	84	0	0	0	300	0	0	355	500	0	0	1725	32	0	300	227
......7618 Graubünden (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	19455	14260	11920	41073	37286	58901	91854	171557	152055	180786	190952	227957	226196	296893	220974	261446	223024	109087
......7618 Graubünden (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	165022	164133	170936	159520	148890	141128	167660	175392	165214	163832	142678	133245	161841	161144	172354	134687	226400	250222
......7618 Graubünden (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7618 Graubünden (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	270	550	320	200	230	710	440	350	30	1060	185	510	1270	2065	4605	1535	78429	750
......7618 Graubünden (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	5470	5300	3040	4430	2270	3010	2860	2630	1885	1665	1765	6330	3770	3495	27400	13600	555	0
......7618 Graubünden (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	3911	15957	11892	1986	1820	26137	19543	10531	8438	8902	4528	20850	19473	31493	27470	17775	8065	9937
......7617 St. Gallen (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2401	17782	0
......7617 St. Gallen (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	0	0	5628	6602	6758	2685	2738	0	240	0	80660	46	1367	590	3513
......7617 St. Gallen (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	51950	28001	8304	12099	23369	33759	79787	61731	52188	28576	51358	79726	76875	100990	64524	41055	45087	76961
......7617 St. Gallen (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	86897	26163	34502	43111	35238	29215	23223	19624	12984	31225	23691	31501	36310	49853	71919	107201	124153	61817
......7617 St. Gallen (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7617 St. Gallen (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7617 St. Gallen (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	215	460	290	30	0	0	700	1000	2827	1100	1016	612	766
......7617 St. Gallen (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	0	19263	14125	12270	11220	10390	3380	18201	16032	47
